,category,index,label,high_conf,high_prec,high_recall,med_conf,med_prec,med_recall,low_conf,low_prec,low_recall
9,make,9,Chrysler,0.47410595417022705,0.7767653465270996,0.8357843160629272,-0.3048907518386841,0.605802059173584,0.8700980544090271,-0.6943891048431396,0.5259366035461426,0.8946078419685364
10,make,10,Citroen,2.2680678367614746,0.7672811150550842,0.7551020383834839,0.991413950920105,0.6183986663818359,0.8231292366981506,0.3530869781970978,0.5235456824302673,0.8571428656578064
11,make,11,Dacia,2.042330741882324,0.8058252334594727,0.8645833134651184,1.0285462141036987,0.6245614290237427,0.9270833134651184,0.3526897728443146,0.5070821642875671,0.9322916865348816
69,make,12,Daewoo,-0.9085091948509216,0.567307710647583,0.7763158082962036,-2.060904026031494,0.35458168387413025,0.8782894611358643,-3.9815618991851807,0.12001678347587585,0.9407894611358643
12,make,13,Daihatsu,2.2180285453796387,0.77173912525177,0.5991561412811279,1.311509370803833,0.613382875919342,0.6962025165557861,1.0093363523483276,0.553398072719574,0.7215189933776855
13,make,14,Datsun,5.684238433837891,0.0,0.0,5.684238433837891,0.0,0.0,5.684238433837891,0.0,0.0
14,make,15,Dodge,4.848328590393066,0.5094339847564697,0.09782608598470688,1.3286592960357666,0.3142857253551483,0.5978260636329651,-1.551070213317871,0.10593220591545105,0.9057971239089966
15,make,16,Eagle,5.785446643829346,0.0,0.0,5.785446643829346,0.0,0.0,5.785446643829346,0.0,0.0
16,make,17,Ferrari,4.269217014312744,0.7792207598686218,0.5,3.1247079372406006,0.640625,0.6833333373069763,2.3617019653320312,0.5321637392044067,0.7583333253860474
17,make,18,Fiat,4.706363677978516,0.773809552192688,0.3095238208770752,3.3462002277374268,0.6022727489471436,0.5047619342803955,2.8021349906921387,0.5286343693733215,0.5714285969734192
70,make,19,Fisker,-0.9085091948509216,0.567307710647583,0.7763158082962036,-2.060904026031494,0.35458168387413025,0.8782894611358643,-3.9815618991851807,0.12001678347587585,0.9407894611358643
18,make,20,Ford,2.2699697017669678,0.7711340188980103,0.7601625919342041,1.2649199962615967,0.6059941649436951,0.8424796462059021,0.7623951435089111,0.5146619081497192,0.8739837408065796
19,make,21,Genesis,0.8193764090538025,0.7634408473968506,0.6995074152946472,0.01652318239212036,0.6137183904647827,0.8374384045600891,-0.3849034309387207,0.5101449489593506,0.866995096206665
20,make,22,Geo,5.540912628173828,0.0,0.0,5.540912628173828,0.0,0.0,5.540912628173828,0.0,0.0
21,make,23,GMC,9.512033462524414,0.0,0.0,9.512033462524414,0.0,0.0,9.512033462524414,0.0,0.0
71,make,24,Holden,-0.9085091948509216,0.567307710647583,0.7763158082962036,-2.060904026031494,0.35458168387413025,0.8782894611358643,-3.9815618991851807,0.12001678347587585,0.9407894611358643
22,make,25,Honda,1.957769751548767,0.7912371158599854,0.5903846025466919,1.154414176940918,0.6348122954368591,0.7153846025466919,0.8866288661956787,0.5758928656578064,0.7442307472229004
23,make,26,Hummer,1.5099966526031494,0.7575757503509521,0.8620689511299133,0.5397496223449707,0.6342281699180603,0.931034505367279,-0.10708168148994446,0.5284552574157715,0.9605911374092102
24,make,27,Hyundai,3.4275081157684326,0.7643171548843384,0.3501513600349426,2.3812949657440186,0.6202393770217896,0.5751765966415405,1.858188271522522,0.5490519404411316,0.6720484495162964
25,make,28,Infiniti,2.192265033721924,0.7857142686843872,0.617977499961853,1.545739769935608,0.6489361524581909,0.6853932738304138,1.2224770784378052,0.5727272629737854,0.7078651785850525
26,make,29,Isuzu,0.4092797040939331,0.78515625,0.8007968068122864,-0.24942398071289062,0.645348846912384,0.8844621777534485,-0.5787758231163025,0.5560975670814514,0.9083665609359741
27,make,30,Iveco,0.9766079783439636,0.8246753215789795,0.8193548321723938,-0.03342914581298828,0.6143497824668884,0.8838709592819214,-0.3701081871986389,0.5577689409255981,0.9032257795333862
